sample	value	index	depth
AD7	0.805483069	Pielou's Evenness	2091
AG1	0.036531713	Pielou's Evenness	6957
AG2	0.013379685	Pielou's Evenness	6957
AG3	0.229984748	Pielou's Evenness	7125
AG4	0.039021388	Pielou's Evenness	7125
AG6	0.250414463	Pielou's Evenness	6957
AG5	0.262920516	Pielou's Evenness	6957
AD9	0.760711575	Pielou's Evenness	2091
AG7	0.334771415	Pielou's Evenness	7125
Emag1	0.592208288	Pielou's Evenness	1000
Emag3	0.689253561	Pielou's Evenness	1000
Prin1	0.545263102	Pielou's Evenness	8226
Prin2	0.686852094	Pielou's Evenness	8226
Prin3	0.80876072	Pielou's Evenness	8226
Prin4	0.734907971	Pielou's Evenness	8226
Eusp1	0.690776534	Pielou's Evenness	1226
Eusp2	0.648412163	Pielou's Evenness	1226
Eusp3	0.696065636	Pielou's Evenness	1226
Eusp4	0.674029695	Pielou's Evenness	1226
Emag4	0.536990821	Pielou's Evenness	1000
Emag5	0.063628587	Pielou's Evenness	1000
Emag6	0.230549101	Pielou's Evenness	1000
Hya1	0.767686979	Pielou's Evenness	3
Hya2	0.762666917	Pielou's Evenness	3
Hya3	0.576107323	Pielou's Evenness	3
Hya4	0.740219703	Pielou's Evenness	3
Hya7	0.739665331	Pielou's Evenness	3
Hya5	0.701970713	Pielou's Evenness	3
Ischy1	0.698865008	Pielou's Evenness	2
Ischy2	0.732882011	Pielou's Evenness	2
Ischy3	0.708845042	Pielou's Evenness	2
Halice1	0.429177575	Pielou's Evenness	10910
Halice2	0.657216949	Pielou's Evenness	10910
Halice3	0.331949245	Pielou's Evenness	10910
Halice4	0.4910625	Pielou's Evenness	10910
Halice5	0.406485109	Pielou's Evenness	10910
Hgigas1	0.274942388	Pielou's Evenness	10109
Hgigas3	0.31218291	Pielou's Evenness	10109
Hgigas4	0.293604873	Pielou's Evenness	10109
Hgigas5	0.334637791	Pielou's Evenness	10109
Hgigas6	0.337162501	Pielou's Evenness	10109
Hgigas7	0.306258451	Pielou's Evenness	10109
Hgigas8	0.491400515	Pielou's Evenness	10109
Hgigas9	0.247139963	Pielou's Evenness	10109
Hya6	0.816062606	Pielou's Evenness	3
SYA	0.570903082	Pielou's Evenness	2
SYB	0.779363968	Pielou's Evenness	2
SYC	0.59180247	Pielou's Evenness	2
AD10	0.78570129	Pielou's Evenness	2802
Hya8	0.634348538	Pielou's Evenness	4
Hya9	0.731965637	Pielou's Evenness	5
XM1	0.618893565	Pielou's Evenness	7.7
XM10	0.789096485	Pielou's Evenness	8.8
XM12.1	0.673989211	Pielou's Evenness	7.3
XM12.2	0.586786204	Pielou's Evenness	7.3
XM2	0.635248704	Pielou's Evenness	5
XM4	0.68865027	Pielou's Evenness	5.7
XM5	0.705371392	Pielou's Evenness	5
XM6	0.692847419	Pielou's Evenness	8.2
XM7	0.814730582	Pielou's Evenness	7.7
XM9	0.607144345	Pielou's Evenness	7.5
KA10	0.578435672	Pielou's Evenness	
KA11	0.44186899	Pielou's Evenness	
KA12	0.565782378	Pielou's Evenness	
KA13	0.460548314	Pielou's Evenness	
KA14	0.142591608	Pielou's Evenness	
KA2	0.22396239	Pielou's Evenness	
KA3	0.60158192	Pielou's Evenness	
KA4	0.367405311	Pielou's Evenness	
KA5	0.669774641	Pielou's Evenness	
KA6	0.557683692	Pielou's Evenness	
KA8	0.07242013	Pielou's Evenness	
KA9	0.652581541	Pielou's Evenness	
AD7	20.03876274	Faith's PD	2091
AG1	6.81396948	Faith's PD	6957
AG2	1.656748386	Faith's PD	6957
AG3	10.21321268	Faith's PD	7125
AG4	6.384661274	Faith's PD	7125
AG6	6.057710189	Faith's PD	6957
AG5	3.619822979	Faith's PD	6957
AD9	11.37267497	Faith's PD	2091
AG7	4.005749599	Faith's PD	7125
Emag1	9.136883585	Faith's PD	1000
Emag3	8.841207086	Faith's PD	1000
Prin1	8.510585677	Faith's PD	8226
Prin2	7.784191892	Faith's PD	8226
Prin3	8.869733476	Faith's PD	8226
Prin4	12.84950771	Faith's PD	8226
Eusp1	17.16954785	Faith's PD	1226
Eusp2	17.51985363	Faith's PD	1226
Eusp3	13.15432086	Faith's PD	1226
