	AD7	AG1	AG2	AG3	AG4	AG6	AG5	AD9	AG7	Emag1	Emag3	Prin1	Prin2	Prin3	Prin4	Eusp1	Eusp2	Eusp3	Eusp4	Emag4	Emag5	Emag6	Hya1	Hya2	Hya3	Hya4	Hya7	Hya5	Ischy1	Ischy2	Ischy3	Halice1	Halice2	Halice3	Halice4	Halice5	Hgigas1	Hgigas3	Hgigas4	Hgigas5	Hgigas6	Hgigas7	Hgigas8	Hgigas9	Hya6	SYA	SYB	SYC	AD10	KA10	KA11	KA12	KA13	KA14	KA2	KA3	KA4	KA5	KA6	KA8	KA9	W10500-1	W10500-2	W10400-1	W10400-2	W10400-4	W10500-3	W10500-4	W10400-5	W10400-6	W9600-1	W9600-2	W4000-1	W4000-2	W4000-3	W4000-4	W9600-3	W4000-5	W9600-6	3KL	3KS	5KL	5KS	7KL	7KS	Hya8	Hya9	XM1	XM10	XM12.1	XM12.2	XM2	XM4	XM5	XM6	XM7	XM9	SRR5757138	SRR5757139	SRR5757140	SRR5757145	SRR5757146	SRR5757147	SRR5757148	SRR5757149	SRR5757154	SRR5757155	SRR5757156	SRR5757157	SRR5757158	SRR5757159	SRR5757160	SRR5757161	SRR11095128	SRR11095139	SRR11095150	SRR11095161	SRR11095162
AD7	0	0.733267695	0.929072045	0.676578425	0.748113712	0.794807207	0.861954096	0.701520765	0.84719694	0.782468966	0.787612026	0.806880081	0.789330762	0.797978777	0.760040184	0.754059937	0.754609759	0.747709764	0.758273873	0.800633558	0.856759292	0.84685794	0.833419545	0.813971649	0.78853932	0.821309929	0.776685917	0.845584106	0.794139579	0.828953849	0.7935115	0.817092501	0.804166716	0.838732706	0.797028262	0.818160792	0.840120588	0.837477578	0.853074958	0.835627695	0.890212097	0.86795218	0.941017559	0.873390978	0.809492651	0.849174596	0.823758752	0.827953836	0.532768535	0.816578425	0.78952289	0.804617798	0.786954938	0.802918072	0.799704117	0.802228547	0.82060564	0.812847114	0.823704767	0.874675229	0.770595649	0.883335874	0.85367361	0.885254616	0.871618015	0.886790695	0.880771899	0.878946066	0.885255698	0.878973146	0.882389785	0.861399326	0.881332003	0.893571866	0.898100384	0.873317935	0.849294332	0.842512763	0.860213647	0.884995274	0.871139749	0.860119538	0.897361309	0.873606061	0.868796128	0.779457607	0.787555213	0.783274679	0.818207514	0.800091496	0.775617463	0.830365758	0.803281678	0.8180285	0.816631127	0.827809283	0.802736736	0.85822147	0.879978397	0.856942412	0.846155927	0.847491209	0.852954281	0.860189041	0.861006965	0.86818591	0.861631743	0.816869129	0.826906173	0.875130259	0.877948086	0.801611696	0.83625898	0.911100135	0.932137188	0.875873099	0.894673555	0.895146228
AG1	0.733267695	0	0.771567394	0.53598696	0.297677256	0.535713807	0.652052922	0.663935376	0.590455876	0.675446998	0.679742885	0.664922624	0.616123873	0.618184201	0.679412534	0.757521792	0.749054125	0.715358244	0.708827188	0.652361804	0.722369252	0.667207842	0.852717969	0.798406812	0.759030237	0.817694218	0.776111084	0.839779639	0.793522207	0.830056277	0.803774941	0.604665628	0.62397077	0.600888614	0.632046207	0.561381951	0.589242563	0.601167565	0.618801585	0.584168445	0.698182199	0.688401295	0.854178676	0.701417715	0.789165174	0.724123076	0.750594681	0.725905844	0.703333222	0.883244061	0.829154765	0.85028089	0.8312274	0.811546219	0.754483538	0.863206515	0.783955557	0.862073193	0.865081381	0.851268036	0.811812244	0.894810429	0.846776906	0.899683248	0.880697372	0.87078324	0.875208204	0.890405122	0.879921565	0.890943037	0.898220592	0.875926096	0.901322778	0.887823358	0.905186619	0.913436162	0.882178712	0.904481933	0.867960588	0.895191992	0.900013965	0.893765339	0.897173053	0.894758647	0.883547214	0.762457907	0.77803585	0.744527496	0.824323405	0.770359044	0.715327447	0.813974992	0.791532318	0.825425536	0.788962492	0.84426463	0.695798893	0.882564535	0.918943199	0.90292605	0.879315749	0.871368909	0.903691851	0.901447186	0.907470087	0.914679458	0.911586297	0.830401413	0.876440894	0.915872591	0.921551812	0.838716021	0.900925229	0.952237754	0.964479355	0.929743828	0.933871983	0.948560832
AG2	0.929072045	0.771567394	0	0.866234097	0.792418178	0.732481545	0.72624566	0.857191983	0.614627321	0.829226051	0.823567559	0.833191776	0.843393761	0.85368805	0.897863267	0.908692985	0.910510062	0.876497948	0.854875911	0.838611568	0.786897822	0.770386372	0.957689373	0.943742597	0.930835388	0.94697977	0.931602005	0.95320488	0.940167661	0.927485297	0.931149149	0.809992363	0.84286712	0.737977335	0.856471181	0.722915578	0.762783417	0.716636729	0.743147272	0.708372305	0.650797134	0.742205048	0.49263097	0.63095351	0.919271651	0.859009592	0.908765673	0.886402566	0.912140674	0.961639928	0.94284523	0.946407209	0.934396749	0.919014256	0.883539042	0.951407402	0.901314436	0.952739966	0.952615498	0.924294334	0.932947357	0.958489838	0.940020434	0.966654058	0.940220048	0.948369961	0.955136679	0.956270521	0.94265943	0.954794655	0.971490607	0.956973078	0.968767155	0.96074794	0.968979345	0.973126556	0.95877703	0.960002474	0.950471463	0.96265126	0.966005457	0.952298291	0.960517019	0.961977187	0.954528324	0.924683986	0.929291485	0.878120016	0.94048147	0.925123492	0.907487153	0.932223618	0.91216718	0.937208058	0.913962146	0.936664325	0.83660465	0.949210736	0.970986258	0.964634675	0.955297299	0.945532057	0.966550515	0.962578826	0.968945391	0.968439508	0.966324962	0.922801283	0.95459856	0.969547164	0.968904039	0.933097416	0.962449025	0.989558404	0.988536915	0.984139083	0.984383159	0.987147685
AG3	0.676578425	0.53598696	0.866234097	0	0.482658862	0.719120008	0.80386269	0.726928057	0.752023053	0.753672202	0.705392956	0.679410563	0.638029609	0.661918083	0.670165406	0.767337716	0.774291991	0.754743251	0.758295929	0.732530971	0.821975822	0.779661826	0.858134425	0.825361714	0.803588534	0.83718685	0.795082786	0.853856571	0.81122631	0.845923086	0.81581811	0.731279719	0.703485907	0.742155956	0.71511254	0.703330873	0.755251126	0.738539267	0.778507867	0.731001742	0.819763879	0.782693098	0.893648989	0.794177756	0.82705087	0.770153554	0.77147852	0.762077066	0.648028748	0.852291071	0.799617856	0.833781371	0.801433442	0.7788723	0.760475451	0.817036757	0.781770736	0.825589959	0.846448456	0.862126786	0.77726472	0.890735311	0.85327154	0.892955965	0.879273883	0.883226259	0.888985165	0.885255849	0.88180808	0.891280559	0.906267355	0.884545412	0.912214315	0.90222521	0.910520593	0.906405942	0.887411189	0.875147555	0.867501818	0.886761563	0.859036465	0.870396931	0.874897195	0.88603317	0.866542513	0.716917833	0.765132793	0.775757513	0.831254342	0.754376265	0.67012351	0.838556831	0.810982807	0.845142218	0.816413327	0.821010896	0.725052299	0.882086976	0.905218888	0.891623884	0.865020439	0.867073171	0.895892705	0.893862714	0.906048188	0.91167751	0.898926231	0.828918904	0.864894042	0.917582957	0.912912277	0.834320643	0.875032396	0.934691045	0.947667488	0.915631026	0.916969841	0.92928544
AG4	0.748113712	0.297677256	0.792418178	0.482658862	0	0.630968503	0.720223147	0.712107523	0.632297814	0.714732043	0.690795983	0.695362561	0.636583759	0.669296007	0.693231261	0.778991445	0.77093992	0.754166132	0.761952175	0.681810497	0.774933785	0.712271801	0.863615558	0.819488699	0.780469442	0.835447899	0.792424521	0.853486603	0.805582068	0.850266508	0.821295871	0.625975627	0.622140262	0.618838992	0.642158563	0.578406395	0.662227621	0.636628755	0.692239346	0.619101464	0.685929226	0.705373318	0.844661379	0.676639594	0.827043839	0.771257927	0.784292732	0.760388823	0.690875048	0.884153095	0.832793373	0.857101754	0.839546437	0.803155736	0.76416821	0.867035604	0.786127143	0.862265479	0.872855203	0.836632127	0.8122062	0.900941144	0.849330227	0.890140607	0.869908582	0.87298633	0.877588947	0.895146685	0.870437684	0.881533871	0.902655651	0.878475217	0.903234502	0.894808585	0.909512967	0.917554872	0.884703916	0.894471352	0.869395043	0.888722704	0.882272997	0.876236338	0.886660186	0.885888721	0.875396264	0.780190071	0.796477621	0.741004879	0.819475954	0.774049758	0.709705721	0.813228747	0.772092963	0.840036662	0.787536606	0.83889495	0.68010908	0.886429551	0.926443102	0.902229717	0.883115467	0.882298917	0.917502781	0.906996499	0.914440807	0.919447836	0.909254455	0.84606237	0.884412266	0.927265484	0.92518628	0.847427797	0.898847158	0.956373004	0.965780463	0.936593986	0.941761665	0.954097442
AG6	0.794807207	0.535713807	0.732481545	0.719120008	0.630968503	0	0.543727724	0.652303751	0.434805366	0.607454351	0.64311123	0.812308579	0.739453033	0.7301519	0.757753616	0.718221761	0.69648996	0.63359335	0.59692139	0.704542291	0.709788891	0.636394812	0.870098628	0.833982096	0.807747802	0.869840611	0.825483332	0.875064278	0.833246914	0.822719568	0.818324611	0.758275002	0.722047012	0.748817339	0.766121342	0.742978511	0.741818086	0.75632707	0.685854955	0.733152882	0.835619502	0.754413729	0.836536302	0.772595276	0.809133647	0.792832747	0.777255247	0.805444566	0.754118079	0.897201654	0.849957797	0.867163952	0.843152589	0.812507805	0.763405135	0.872796845	0.783622985	0.878638187	0.879018762	0.821501218	0.832532023	0.874055227	0.831015466	0.885025935	0.865714539	0.859999111	0.859501139	0.865939263	0.862450617	0.882493184	0.896250675	0.869220887	0.891765476	0.876119077	0.894555057	0.900027404	0.869828163	0.886329445	0.85283339	0.886830309	0.888010746	0.876719596	0.875077528	0.880505775	0.865768395	0.788945884	0.808789628	0.753500164	0.841077209	0.811859799	0.766471448	0.815581462	0.769463281	0.825919346	0.797681386	0.850758115	0.690032116	0.875363347	0.918792558	0.896081938	0.887916784	0.849780852	0.905030808	0.903192096	0.902190681	0.910353271	0.903174392	0.809244245	0.862960961	0.904618718	0.911496078	0.819288498	0.884687988	0.952067878	0.964606612	0.923703658	0.92922899	0.943685156
AG5	0.861954096	0.652052922	0.72624566	0.80386269	0.720223147	0.543727724	0	0.791707853	0.597855139	0.756971785	0.768577798	0.86549704	0.776733612	0.826186484	0.84866378	0.846568614	0.812477125	0.777482204	0.764049603	0.724104371	0.624488002	0.568531537	0.903909991	0.861324493	0.827410216	0.888470862	0.874637964	0.894006492	0.8731265	0.856955677	0.836024438	0.764318836	0.801648943	0.780874374	0.800972921	0.795952361	0.713553375	0.767855183	0.60560873	0.763093823	0.815754569	0.746888508	0.782726268	0.78379207	0.850696651	0.762862787	0.826006019	0.824883106	0.838166265	0.936750756	0.901605637	0.91437469	0.898929996	0.880982534	0.813822279	0.921347108	0.83827964	0.922682	0.921594448	0.886993085	0.892674472	0.904967471	0.852615098	0.917051335	0.904615236	0.88639931	0.879146018	0.901209538	0.897160457	0.909294089	0.922128515	0.906385062	0.918006003	0.899620444	0.910290556	0.931995462	0.910193665	0.939372627	0.892739962	0.905098102	0.915449626	0.904480636	0.902751591	0.909357114	0.901209538	0.882642085	0.888368229	0.851117195	0.908461051	0.894066576	0.873242403	0.897740571	0.879160231	0.896707979	0.886174661	0.907944775	0.802134665	0.922260797	0.955530577	0.943584432	0.93213593	0.916513528	0.943420193	0.942809911	0.944278366	0.947962859	0.948371656	0.888681092	0.923661455	0.947236798	0.951742041	0.891289551	0.940510191	0.965834223	0.977532159	0.935297557	0.940837074	0.958084826
AD9	0.701520765	0.663935376	0.857191983	0.726928057	0.712107523	0.652303751	0.791707853	0	0.700687476	0.69510969	0.685787696	0.795800045	0.755159916	0.721688731	0.688328062	0.732111993	0.723096697	0.706192096	0.689729306	0.734140115	0.822991085	0.788694348	0.838203918	0.825148018	0.801296806	0.846259106	0.805187104	0.847021305	0.809506234	0.845664582	0.829522327	0.740060157	0.72613431	0.773886601	0.72683388	0.74434274	0.75754195	0.77092026	0.800098252	0.764217374	0.835700483	0.817298183	0.897129996	0.836752218	0.766639291	0.810458459	0.809020161	0.800159141	0.667069993	0.847901502	0.800984656	0.822238343	0.79568118	0.783155163	0.743879719	0.826745215	0.769567328	0.835775238	0.840467579	0.832222528	0.793621719	0.872991889	0.853431827	0.875759339	0.859063256	0.870594384	0.858452555	0.865645297	0.871384582	0.868249761	0.883121188	0.855425719	0.878024226	0.868562565	0.88838885	0.881243634	0.842173041	0.855411297	0.845254603	0.893632669	0.871946125	0.884964492	0.896635926	0.891463127	0.874607053	0.738397395	0.738397738	0.729954141	0.786082627	0.747407523	0.719037757	0.77007966	0.727768448	0.782663483	0.739085268	0.791635402	0.726222028	0.86988585	0.902837715	0.879578122	0.859883324	0.851255808	0.879787862	0.879215242	0.871885061	0.891506309	0.887987218	0.820198789	0.842850782	0.875064866	0.893928563	0.802189272	0.864834237	0.935368351	0.951479789	0.9085883	0.930858464	0.932873202
AG7	0.84719694	0.590455876	0.614627321	0.752023053	0.632297814	0.434805366	0.597855139	0.700687476	0	0.606151473	0.588467091	0.798281282	0.694054866	0.646697282	0.737723245	0.788680992	0.780849789	0.727213386	0.683849099	0.730585186	0.708351464	0.641380373	0.904902851	0.878034874	0.864168659	0.899595803	0.865180234	0.908194675	0.875629554	0.857432776	0.864870325	0.700624643	0.726610827	0.678161862	0.732640098	0.674215546	0.709886215	0.679856719	0.63214541	0.645287618	0.769871408	0.674041376	0.756651829	0.688110453	0.853945133	0.79173582	0.811542326	0.821275306	0.813160905	0.916098712	0.871922632	0.887928613	0.861209973	0.822718927	0.784662609	0.894555755	0.809223049	0.897897419	0.896722009	0.841624406	0.855475638	0.902808277	0.859689493	0.897729944	0.86838076	0.891856724	0.88443425	0.89023585	0.879569497	0.893634606	0.921265003	0.890699492	0.915582843	0.89959579	0.918080755	0.924237932	0.890552657	0.89995702	0.877769028	0.907734667	0.907130736	0.894839585	0.894914115	0.905808969	0.889189811	0.837857959	0.838893663	0.738175563	0.850633822	0.806140993	0.759142	0.820525396	0.768593	0.84834321	0.788274501	0.851727445	0.644472824	0.898524004	0.934295808	0.914708006	0.897328692	0.877554075	0.924717939	0.915470878	0.925249291	0.927243203	0.925084301	0.824637803	0.893605086	0.928054951	0.926583165	0.85225065	0.914001098	0.972281208	0.974257621	0.947943275	0.951520216	0.966229399
Emag1	0.782468966	0.675446998	0.829226051	0.753672202	0.714732043	0.607454351	0.756971785	0.69510969	0.606151473	0	0.53656312	0.824132749	0.76086381	0.740544646	0.731049838	0.671191548	0.673628678	0.620517483	0.606202471	0.653816079	0.707425074	0.638019665	0.852614563	0.831663073	0.82139128	0.852729845	0.799736458	0.854476517	0.837111034	0.838025463	0.830421382	0.805626632	0.791346422	0.803240418	0.801802161	0.800005628	0.779279732	0.795548008	0.74137696	0.792872501	0.864077287	0.783528255	0.883474722	0.789267888	0.815101341	0.809026709	0.808867997	0.825478441	0.720187399	0.865595982	0.821450137	0.837186042	0.8171423	0.792751924	0.757061104	0.846388084	0.760835953	0.850707474	0.853611533	0.813819556	0.798175215	0.878418997	0.835442936	0.880990059	0.864885838	0.862316588	0.863151463	0.872556726	0.866785768	0.88210503	0.881885978	0.862993432	0.875798529	0.869012644	0.882735089	0.887773816	0.850398271	0.876357247	0.845609804	0.893408921	0.890036295	0.870100165	0.8841701	0.892384759	0.877451904	0.785940352	0.786679229	0.686627384	0.80440036	0.793714234	0.770034515	0.776040761	0.744416829	0.781386748	0.774083224	0.807103472	0.697727473	0.871457636	0.907691014	0.881074821	0.86683271	0.846991091	0.886830648	0.879386858	0.886485372	0.897173212	0.886694721	0.791505476	0.843792607	0.894678392	0.895990834	0.807329555	0.8728604	0.951566912	0.959418627	0.912037886	0.920814246	0.935791465
