	AD7	AG1	AG2	AG3	AG4	AG6	AG5	AD9	AG7	Emag1	Emag3	Prin1	Prin2	Prin3	Prin4	Eusp1	Eusp2	Eusp3	Eusp4	Emag4	Emag5	Emag6	Hya1	Hya2	Hya3	Hya4	Hya7	Hya5	Ischy1	Ischy2	Ischy3	Halice1	Halice2	Halice3	Halice4	Halice5	Hgigas1	Hgigas3	Hgigas4	Hgigas5	Hgigas6	Hgigas7	Hgigas8	Hgigas9	Hya6	SYA	SYB	SYC	AD10	KA10	KA11	KA12	KA13	KA14	KA2	KA3	KA4	KA5	KA6	KA8	KA9	Hya8	Hya9	XM1	XM10	XM12.1	XM12.2	XM2	XM4	XM5	XM6	XM7	XM9
AD7	0	0.733267695	0.929072045	0.676578425	0.748113712	0.794807207	0.861954096	0.701520765	0.84719694	0.782468966	0.787612026	0.806880081	0.789330762	0.797978777	0.760040184	0.754059937	0.754609759	0.747709764	0.758273873	0.800633558	0.856759292	0.84685794	0.833419545	0.813971649	0.78853932	0.821309929	0.776685917	0.845584106	0.794139579	0.828953849	0.7935115	0.817092501	0.804166716	0.838732706	0.797028262	0.818160792	0.840120588	0.837477578	0.853074958	0.835627695	0.890212097	0.86795218	0.941017559	0.873390978	0.809492651	0.849174596	0.823758752	0.827953836	0.532768535	0.816578425	0.78952289	0.804617798	0.786954938	0.802918072	0.799704117	0.802228547	0.82060564	0.812847114	0.823704767	0.874675229	0.770595649	0.779457607	0.787555213	0.783274679	0.818207514	0.800091496	0.775617463	0.830365758	0.803281678	0.8180285	0.816631127	0.827809283	0.802736736
AG1	0.733267695	0	0.771567394	0.53598696	0.297677256	0.535713807	0.652052922	0.663935376	0.590455876	0.675446998	0.679742885	0.664922624	0.616123873	0.618184201	0.679412534	0.757521792	0.749054125	0.715358244	0.708827188	0.652361804	0.722369252	0.667207842	0.852717969	0.798406812	0.759030237	0.817694218	0.776111084	0.839779639	0.793522207	0.830056277	0.803774941	0.604665628	0.62397077	0.600888614	0.632046207	0.561381951	0.589242563	0.601167565	0.618801585	0.584168445	0.698182199	0.688401295	0.854178676	0.701417715	0.789165174	0.724123076	0.750594681	0.725905844	0.703333222	0.883244061	0.829154765	0.85028089	0.8312274	0.811546219	0.754483538	0.863206515	0.783955557	0.862073193	0.865081381	0.851268036	0.811812244	0.762457907	0.77803585	0.744527496	0.824323405	0.770359044	0.715327447	0.813974992	0.791532318	0.825425536	0.788962492	0.84426463	0.695798893
AG2	0.929072045	0.771567394	0	0.866234097	0.792418178	0.732481545	0.72624566	0.857191983	0.614627321	0.829226051	0.823567559	0.833191776	0.843393761	0.85368805	0.897863267	0.908692985	0.910510062	0.876497948	0.854875911	0.838611568	0.786897822	0.770386372	0.957689373	0.943742597	0.930835388	0.94697977	0.931602005	0.95320488	0.940167661	0.927485297	0.931149149	0.809992363	0.84286712	0.737977335	0.856471181	0.722915578	0.762783417	0.716636729	0.743147272	0.708372305	0.650797134	0.742205048	0.49263097	0.63095351	0.919271651	0.859009592	0.908765673	0.886402566	0.912140674	0.961639928	0.94284523	0.946407209	0.934396749	0.919014256	0.883539042	0.951407402	0.901314436	0.952739966	0.952615498	0.924294334	0.932947357	0.924683986	0.929291485	0.878120016	0.94048147	0.925123492	0.907487153	0.932223618	0.91216718	0.937208058	0.913962146	0.936664325	0.83660465
AG3	0.676578425	0.53598696	0.866234097	0	0.482658862	0.719120008	0.80386269	0.726928057	0.752023053	0.753672202	0.705392956	0.679410563	0.638029609	0.661918083	0.670165406	0.767337716	0.774291991	0.754743251	0.758295929	0.732530971	0.821975822	0.779661826	0.858134425	0.825361714	0.803588534	0.83718685	0.795082786	0.853856571	0.81122631	0.845923086	0.81581811	0.731279719	0.703485907	0.742155956	0.71511254	0.703330873	0.755251126	0.738539267	0.778507867	0.731001742	0.819763879	0.782693098	0.893648989	0.794177756	0.82705087	0.770153554	0.77147852	0.762077066	0.648028748	0.852291071	0.799617856	0.833781371	0.801433442	0.7788723	0.760475451	0.817036757	0.781770736	0.825589959	0.846448456	0.862126786	0.77726472	0.716917833	0.765132793	0.775757513	0.831254342	0.754376265	0.67012351	0.838556831	0.810982807	0.845142218	0.816413327	0.821010896	0.725052299
AG4	0.748113712	0.297677256	0.792418178	0.482658862	0	0.630968503	0.720223147	0.712107523	0.632297814	0.714732043	0.690795983	0.695362561	0.636583759	0.669296007	0.693231261	0.778991445	0.77093992	0.754166132	0.761952175	0.681810497	0.774933785	0.712271801	0.863615558	0.819488699	0.780469442	0.835447899	0.792424521	0.853486603	0.805582068	0.850266508	0.821295871	0.625975627	0.622140262	0.618838992	0.642158563	0.578406395	0.662227621	0.636628755	0.692239346	0.619101464	0.685929226	0.705373318	0.844661379	0.676639594	0.827043839	0.771257927	0.784292732	0.760388823	0.690875048	0.884153095	0.832793373	0.857101754	0.839546437	0.803155736	0.76416821	0.867035604	0.786127143	0.862265479	0.872855203	0.836632127	0.8122062	0.780190071	0.796477621	0.741004879	0.819475954	0.774049758	0.709705721	0.813228747	0.772092963	0.840036662	0.787536606	0.83889495	0.68010908
AG6	0.794807207	0.535713807	0.732481545	0.719120008	0.630968503	0	0.543727724	0.652303751	0.434805366	0.607454351	0.64311123	0.812308579	0.739453033	0.7301519	0.757753616	0.718221761	0.69648996	0.63359335	0.59692139	0.704542291	0.709788891	0.636394812	0.870098628	0.833982096	0.807747802	0.869840611	0.825483332	0.875064278	0.833246914	0.822719568	0.818324611	0.758275002	0.722047012	0.748817339	0.766121342	0.742978511	0.741818086	0.75632707	0.685854955	0.733152882	0.835619502	0.754413729	0.836536302	0.772595276	0.809133647	0.792832747	0.777255247	0.805444566	0.754118079	0.897201654	0.849957797	0.867163952	0.843152589	0.812507805	0.763405135	0.872796845	0.783622985	0.878638187	0.879018762	0.821501218	0.832532023	0.788945884	0.808789628	0.753500164	0.841077209	0.811859799	0.766471448	0.815581462	0.769463281	0.825919346	0.797681386	0.850758115	0.690032116
AG5	0.861954096	0.652052922	0.72624566	0.80386269	0.720223147	0.543727724	0	0.791707853	0.597855139	0.756971785	0.768577798	0.86549704	0.776733612	0.826186484	0.84866378	0.846568614	0.812477125	0.777482204	0.764049603	0.724104371	0.624488002	0.568531537	0.903909991	0.861324493	0.827410216	0.888470862	0.874637964	0.894006492	0.8731265	0.856955677	0.836024438	0.764318836	0.801648943	0.780874374	0.800972921	0.795952361	0.713553375	0.767855183	0.60560873	0.763093823	0.815754569	0.746888508	0.782726268	0.78379207	0.850696651	0.762862787	0.826006019	0.824883106	0.838166265	0.936750756	0.901605637	0.91437469	0.898929996	0.880982534	0.813822279	0.921347108	0.83827964	0.922682	0.921594448	0.886993085	0.892674472	0.882642085	0.888368229	0.851117195	0.908461051	0.894066576	0.873242403	0.897740571	0.879160231	0.896707979	0.886174661	0.907944775	0.802134665
AD9	0.701520765	0.663935376	0.857191983	0.726928057	0.712107523	0.652303751	0.791707853	0	0.700687476	0.69510969	0.685787696	0.795800045	0.755159916	0.721688731	0.688328062	0.732111993	0.723096697	0.706192096	0.689729306	0.734140115	0.822991085	0.788694348	0.838203918	0.825148018	0.801296806	0.846259106	0.805187104	0.847021305	0.809506234	0.845664582	0.829522327	0.740060157	0.72613431	0.773886601	0.72683388	0.74434274	0.75754195	0.77092026	0.800098252	0.764217374	0.835700483	0.817298183	0.897129996	0.836752218	0.766639291	0.810458459	0.809020161	0.800159141	0.667069993	0.847901502	0.800984656	0.822238343	0.79568118	0.783155163	0.743879719	0.826745215	0.769567328	0.835775238	0.840467579	0.832222528	0.793621719	0.738397395	0.738397738	0.729954141	0.786082627	0.747407523	0.719037757	0.77007966	0.727768448	0.782663483	0.739085268	0.791635402	0.726222028
AG7	0.84719694	0.590455876	0.614627321	0.752023053	0.632297814	0.434805366	0.597855139	0.700687476	0	0.606151473	0.588467091	0.798281282	0.694054866	0.646697282	0.737723245	0.788680992	0.780849789	0.727213386	0.683849099	0.730585186	0.708351464	0.641380373	0.904902851	0.878034874	0.864168659	0.899595803	0.865180234	0.908194675	0.875629554	0.857432776	0.864870325	0.700624643	0.726610827	0.678161862	0.732640098	0.674215546	0.709886215	0.679856719	0.63214541	0.645287618	0.769871408	0.674041376	0.756651829	0.688110453	0.853945133	0.79173582	0.811542326	0.821275306	0.813160905	0.916098712	0.871922632	0.887928613	0.861209973	0.822718927	0.784662609	0.894555755	0.809223049	0.897897419	0.896722009	0.841624406	0.855475638	0.837857959	0.838893663	0.738175563	0.850633822	0.806140993	0.759142	0.820525396	0.768593	0.84834321	0.788274501	0.851727445	0.644472824
Emag1	0.782468966	0.675446998	0.829226051	0.753672202	0.714732043	0.607454351	0.756971785	0.69510969	0.606151473	0	0.53656312	0.824132749	0.76086381	0.740544646	0.731049838	0.671191548	0.673628678	0.620517483	0.606202471	0.653816079	0.707425074	0.638019665	0.852614563	0.831663073	0.82139128	0.852729845	0.799736458	0.854476517	0.837111034	0.838025463	0.830421382	0.805626632	0.791346422	0.803240418	0.801802161	0.800005628	0.779279732	0.795548008	0.74137696	0.792872501	0.864077287	0.783528255	0.883474722	0.789267888	0.815101341	0.809026709	0.808867997	0.825478441	0.720187399	0.865595982	0.821450137	0.837186042	0.8171423	0.792751924	0.757061104	0.846388084	0.760835953	0.850707474	0.853611533	0.813819556	0.798175215	0.785940352	0.786679229	0.686627384	0.80440036	0.793714234	0.770034515	0.776040761	0.744416829	0.781386748	0.774083224	0.807103472	0.697727473
