names	nick	depth	depth_layer	isolation_source	Habitat_1	Habitat_0	rf	Lifestyle	grouping	diet	diet_algae	diet_carrion	diet_sediment	site	host_species	host_order	host_Superfamily	host_family	host_genus
Halice1	Halice1	10910	>10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	Halice sp. MT-2017	Amphipoda	Dexaminoidea	Pardaliscidae	Halice
Halice2	Halice2	10910	>10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	Halice sp. MT-2017	Amphipoda	Dexaminoidea	Pardaliscidae	Halice
Halice3	Halice3	10910	>10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	Halice sp. MT-2017	Amphipoda	Dexaminoidea	Pardaliscidae	Halice
Halice4	Halice4	10910	>10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	Halice sp. MT-2017	Amphipoda	Dexaminoidea	Pardaliscidae	Halice
Halice5	Halice5	10910	>10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	Halice sp. MT-2017	Amphipoda	Dexaminoidea	Pardaliscidae	Halice
Hgigas1	Hg1	10109	>10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	H.gigas	Amphipoda	Lysianassoidea	Hirondelleidae	Hirondellea
Hgigas6	Hg2	10109	>10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	H.gigas	Amphipoda	Lysianassoidea	Hirondelleidae	Hirondellea
Hgigas3	Hg3	10109	>10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	H.gigas	Amphipoda	Lysianassoidea	Hirondelleidae	Hirondellea
Hgigas4	Hg4	10109	>10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	H.gigas	Amphipoda	Lysianassoidea	Hirondelleidae	Hirondellea
Hgigas5	Hg5	10109	>10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	H.gigas	Amphipoda	Lysianassoidea	Hirondelleidae	Hirondellea
Hgigas7	Hg6	10109	>10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	H.gigas	Amphipoda	Lysianassoidea	Hirondelleidae	Hirondellea
Hgigas8	Hg7	10109	>10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	H.gigas	Amphipoda	Lysianassoidea	Hirondelleidae	Hirondellea
Hgigas9	Hg8	10109	>10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	H.gigas	Amphipoda	Lysianassoidea	Hirondelleidae	Hirondellea
AG1	Ag1	6957	6000-10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	A.gigantea	Amphipoda	Alicelloidea	Alicellidae	Alicella
AG2	Ag2	6957	6000-10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	A.gigantea	Amphipoda	Alicelloidea	Alicellidae	Alicella
AG3	Ag3	7125	6000-10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	A.gigantea	Amphipoda	Alicelloidea	Alicellidae	Alicella
AG4	Ag4	7125	6000-10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	A.gigantea	Amphipoda	Alicelloidea	Alicellidae	Alicella
AG5	Ag5	6957	6000-10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	A.gigantea	Amphipoda	Alicelloidea	Alicellidae	Alicella
AG6	Ag6	6957	6000-10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	A.gigantea	Amphipoda	Alicelloidea	Alicellidae	Alicella
AG7	Ag7	7125	6000-10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	A.gigantea	Amphipoda	Alicelloidea	Alicellidae	Alicella
Prin1	Prin1	8226	6000-10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	Princaxelia sp.	Amphipoda	Dexaminoidea	Pardaliscidae	Princaxelia
Prin2	Prin2	8226	6000-10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	Princaxelia sp.	Amphipoda	Dexaminoidea	Pardaliscidae	Princaxelia
Prin3	Prin3	8226	6000-10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	Princaxelia sp.	Amphipoda	Dexaminoidea	Pardaliscidae	Princaxelia
Prin4	Prin4	8226	6000-10000	Amphipod	Aquatic	Hadopelagic	h	Nekton	Scavenger	Scavenger	0	1	1	MT	Princaxelia sp.	Amphipoda	Dexaminoidea	Pardaliscidae	Princaxelia
AD7	Ad7	2091	1000-4000	Amphipod	Aquatic	Bathypelagic	B	Nekton	Scavenger	Scavenger	0	1	1	SCS	A.distinctus	Amphipoda	Lysianassoidea	Uristidae	Abyssorchomene
AD9	Ad9	2091	1000-4000	Amphipod	Aquatic	Bathypelagic	B	Nekton	Scavenger	Scavenger	0	1	1	SCS	A.distinctus	Amphipoda	Lysianassoidea	Uristidae	Abyssorchomene
AD10	Ad10	2802	1000-4000	Amphipod	Aquatic	Bathypelagic	B	Nekton	Scavenger	Scavenger	0	1	1	SCS	A.distinctus	Amphipoda	Lysianassoidea	Uristidae	Abyssorchomene
Eusp1	Eusp1	1226	1000-4000	Amphipod	Aquatic	Bathypelagic	B	Nekton	Scavenger	Scavenger	0	1	1	SCS	Eurythenes sp.	Amphipoda	Lysianassoidea	Eurytheneidae	Eurythenes
Eusp2	Eusp2	1226	1000-4000	Amphipod	Aquatic	Bathypelagic	B	Nekton	Scavenger	Scavenger	0	1	1	SCS	Eurythenes sp.	Amphipoda	Lysianassoidea	Eurytheneidae	Eurythenes
Eusp3	Eusp3	1226	1000-4000	Amphipod	Aquatic	Bathypelagic	B	Nekton	Scavenger	Scavenger	0	1	1	SCS	Eurythenes sp.	Amphipoda	Lysianassoidea	Eurytheneidae	Eurythenes
