names	depth	zone	depth_layer	sample_type	isolation_source	Habitat_1	Habitat_0	Lifestyle	grouping	grouping_2	diet	diet_algae	diet_carrion	diet_sediment	site	host_species	host_order	host_Superfamily	host_family	host_genus
AD10	2802	ds	1000-4000	Marine amphipod	Amphipod	Aquatic	Bathypelagic	Nekton	Scavenger	Bathyal amphipod	scavenger	0	1	1	SCS	A.distinctus	Amphipoda	Lysianassoidea	Uristidae	Abyssorchomene
AD7	2091	ds	1000-4000	Marine amphipod	Amphipod	Aquatic	Bathypelagic	Nekton	Scavenger	Bathyal amphipod	scavenger	0	1	1	SCS	A.distinctus	Amphipoda	Lysianassoidea	Uristidae	Abyssorchomene
AD9	2091	ds	1000-4000	Marine amphipod	Amphipod	Aquatic	Bathypelagic	Nekton	Scavenger	Bathyal amphipod	scavenger	0	1	1	SCS	A.distinctus	Amphipoda	Lysianassoidea	Uristidae	Abyssorchomene
AG1	6957	ds	6000-10000	Marine amphipod	Amphipod	Aquatic	Hadopelagic	Nekton	Scavenger	Hadal amphipod	scavenger	0	1	1	MT	A.gigantea	Amphipoda	Alicelloidea	Alicellidae	Alicella
AG2	6957	ds	6000-10000	Marine amphipod	Amphipod	Aquatic	Hadopelagic	Nekton	Scavenger	Hadal amphipod	scavenger	0	1	1	MT	A.gigantea	Amphipoda	Alicelloidea	Alicellidae	Alicella
AG3	7125	ds	6000-10000	Marine amphipod	Amphipod	Aquatic	Hadopelagic	Nekton	Scavenger	Hadal amphipod	scavenger	0	1	1	MT	A.gigantea	Amphipoda	Alicelloidea	Alicellidae	Alicella
AG4	7125	ds	6000-10000	Marine amphipod	Amphipod	Aquatic	Hadopelagic	Nekton	Scavenger	Hadal amphipod	scavenger	0	1	1	MT	A.gigantea	Amphipoda	Alicelloidea	Alicellidae	Alicella
AG5	6957	ds	6000-10000	Marine amphipod	Amphipod	Aquatic	Hadopelagic	Nekton	Scavenger	Hadal amphipod	scavenger	0	1	1	MT	A.gigantea	Amphipoda	Alicelloidea	Alicellidae	Alicella
AG6	6957	ds	6000-10000	Marine amphipod	Amphipod	Aquatic	Hadopelagic	Nekton	Scavenger	Hadal amphipod	scavenger	0	1	1	MT	A.gigantea	Amphipoda	Alicelloidea	Alicellidae	Alicella
AG7	7125	ds	6000-10000	Marine amphipod	Amphipod	Aquatic	Hadopelagic	Nekton	Scavenger	Hadal amphipod	scavenger	0	1	1	MT	A.gigantea	Amphipoda	Alicelloidea	Alicellidae	Alicella
Emag1	1000	ds	1000-4000	Marine amphipod	Amphipod	Aquatic	Bathypelagic	Nekton	Scavenger	Bathyal amphipod	scavenger	0	1	1	SCS	E.magellanicus	Amphipoda	Lysianassoidea	Eurytheneidae	Eurythenes
Emag3	1000	ds	1000-4000	Marine amphipod	Amphipod	Aquatic	Bathypelagic	Nekton	Scavenger	Bathyal amphipod	scavenger	0	1	1	SCS	E.magellanicus	Amphipoda	Lysianassoidea	Eurytheneidae	Eurythenes
Emag4	1000	ds	1000-4000	Marine amphipod	Amphipod	Aquatic	Bathypelagic	Nekton	Scavenger	Bathyal amphipod	scavenger	0	1	1	SCS	E.magellanicus	Amphipoda	Lysianassoidea	Eurytheneidae	Eurythenes
Emag5	1000	ds	1000-4000	Marine amphipod	Amphipod	Aquatic	Bathypelagic	Nekton	Scavenger	Bathyal amphipod	scavenger	0	1	1	SCS	E.magellanicus	Amphipoda	Lysianassoidea	Eurytheneidae	Eurythenes
Emag6	1000	ds	1000-4000	Marine amphipod	Amphipod	Aquatic	Bathypelagic	Nekton	Scavenger	Bathyal amphipod	scavenger	0	1	1	SCS	E.magellanicus	Amphipoda	Lysianassoidea	Eurytheneidae	Eurythenes
Eusp1	1226	ds	1000-4000	Marine amphipod	Amphipod	Aquatic	Bathypelagic	Nekton	Scavenger	Bathyal amphipod	scavenger	0	1	1	SCS	Eurythenes sp.	Amphipoda	Lysianassoidea	Eurytheneidae	Eurythenes
Eusp2	1226	ds	1000-4000	Marine amphipod	Amphipod	Aquatic	Bathypelagic	Nekton	Scavenger	Bathyal amphipod	scavenger	0	1	1	SCS	Eurythenes sp.	Amphipoda	Lysianassoidea	Eurytheneidae	Eurythenes
Eusp3	1226	ds	1000-4000	Marine amphipod	Amphipod	Aquatic	Bathypelagic	Nekton	Scavenger	Bathyal amphipod	scavenger	0	1	1	SCS	Eurythenes sp.	Amphipoda	Lysianassoidea	Eurytheneidae	Eurythenes
Eusp4	1226	ds	1000-4000	Marine amphipod	Amphipod	Aquatic	Bathypelagic	Nekton	Scavenger	Bathyal amphipod	scavenger	0	1	1	SCS	Eurythenes sp.	Amphipoda	Lysianassoidea	Eurytheneidae	Eurythenes
Halice1	10910	ds	>10000	Marine amphipod	Amphipod	Aquatic	Hadopelagic	Nekton	Scavenger	Hadal amphipod	scavenger	0	1	1	MT	Halice sp. MT-2017	Amphipoda	Dexaminoidea	Pardaliscidae	Halice
Halice2	10910	ds	>10000	Marine amphipod	Amphipod	Aquatic	Hadopelagic	Nekton	Scavenger	Hadal amphipod	scavenger	0	1	1	MT	Halice sp. MT-2017	Amphipoda	Dexaminoidea	Pardaliscidae	Halice
Halice3	10910	ds	>10000	Marine amphipod	Amphipod	Aquatic	Hadopelagic	Nekton	Scavenger	Hadal amphipod	scavenger	0	1	1	MT	Halice sp. MT-2017	Amphipoda	Dexaminoidea	Pardaliscidae	Halice
Halice4	10910	ds	>10000	Marine amphipod	Amphipod	Aquatic	Hadopelagic	Nekton	Scavenger	Hadal amphipod	scavenger	0	1	1	MT	Halice sp. MT-2017	Amphipoda	Dexaminoidea	Pardaliscidae	Halice
Halice5	10910	ds	>10000	Marine amphipod	Amphipod	Aquatic	Hadopelagic	Nekton	Scavenger	Hadal amphipod	scavenger	0	1	1	MT	Halice sp. MT-2017	Amphipoda	Dexaminoidea	Pardaliscidae	Halice
Hgigas1	10109	ds	>10000	Marine amphipod	Amphipod	Aquatic	Hadopelagic	Nekton	Scavenger	Hadal amphipod	scavenger	0	1	1	MT	H.gigas	Amphipoda	Lysianassoidea	Hirondelleidae	Hirondellea
Hgigas6	10109	ds	>10000	Marine amphipod	Amphipod	Aquatic	Hadopelagic	Nekton	Scavenger	Hadal amphipod	scavenger	0	1	1	MT	H.gigas	Amphipoda	Lysianassoidea	Hirondelleidae	Hirondellea
Hgigas3	10109	ds	>10000	Marine amphipod	Amphipod	Aquatic	Hadopelagic	Nekton	Scavenger	Hadal amphipod	scavenger	0	1	1	MT	H.gigas	Amphipoda	Lysianassoidea	Hirondelleidae	Hirondellea
Hgigas4	10109	ds	>10000	Marine amphipod	Amphipod	Aquatic	Hadopelagic	Nekton	Scavenger	Hadal amphipod	scavenger	0	1	1	MT	H.gigas	Amphipoda	Lysianassoidea	Hirondelleidae	Hirondellea
Hgigas5	10109	ds	>10000	Marine amphipod	Amphipod	Aquatic	Hadopelagic	Nekton	Scavenger	Hadal amphipod	scavenger	0	1	1	MT	H.gigas	Amphipoda	Lysianassoidea	Hirondelleidae	Hirondellea
Hgigas7	10109	ds	>10000	Marine amphipod	Amphipod	Aquatic	Hadopelagic	Nekton	Scavenger	Hadal amphipod	scavenger	0	1	1	MT	H.gigas	Amphipoda	Lysianassoidea	Hirondelleidae	Hirondellea
Hgigas8	10109	ds	>10000	Marine amphipod	Amphipod	Aquatic	Hadopelagic	Nekton	Scavenger	Hadal amphipod	scavenger	0	1	1	MT	H.gigas	Amphipoda	Lysianassoidea	Hirondelleidae	Hirondellea
