Row.names	logFC	logCPM	PValue	FDR	level	Kindom	Phylum	Class	Order	Family	Genus	Species	Hya1	Hya2	Hya3	Hya4	Hya7	Hya5	Ischy1	Ischy2	Ischy3	Hya6	SYA	SYB	SYC	KA10	KA11	KA12	KA13	KA14	KA2	KA3	KA4	KA5	KA6	KA8	KA9	Hya8	Hya9	XM1	XM10	XM12.1	XM12.2	XM2	XM4	XM5	XM6	XM7	XM9	SRR5757138	SRR5757140	SRR5757145	SRR5757146	SRR5757148	SRR5757149	SRR5757154	SRR5757155	SRR5757156	SRR5757158	SRR5757159	SRR5757161
ASV20	13.56398125	15.65057836	1.01E-05	6.90E-06	Enriched	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	CandidatusHepatoplasma	Unassigned	44	10	77	30	55	44	22	1	28	8	0	0	0	4553	0	253	2063	0	343	868	88	6	1511	0	14	114	65	37	0	0	0	0	0	0	0	12	199	0	0	0	0	0	0	0	0	0	0	0	0
ASV32	12.04502562	14.13531702	0.005847748	0.001750418	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	943	88	316	187	70	6	413	5	2236	243	0	1484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV12	11.93178947	15.94577665	0.00023584	0.000116416	Enriched	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	1236	386	2311	3115	265	315	6288	39	760	1047	60	2179	0	14	122	0	1	2	7	134	5	58	0	252	0	0	0	0	2	0	0	0	0	0	0	0
ASV13	11.88738571	13.98085238	0.004926712	0.001547644	Enriched	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Shimia	Unassigned	454	174	6589	53	172	820	0	0	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4847	2645	0	26	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV35	11.75412608	13.84590418	0.00569136	0.001719083	Enriched	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	326	729	548	233	76	5	533	12	1834	289	0	990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV14	11.16701871	13.26596165	0.000236333	0.000116416	Enriched	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix	Unassigned	2346	938	163	1357	1159	433	1795	2133	561	459	154	2276	63	0	0	0	0	0	0	0	0	0	0	0	0	54	52	0	0	0	0	560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV15	11.00678517	13.10815543	0.031509953	0.006212339	Enriched	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	JdFBGBact	Unassigned	Unassigned	0	0	0	3	0	0	5031	3596	5418	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	22	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV22	10.92613206	13.02715479	1.07E-06	9.33E-07	Enriched	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Octadecabacter	Unassigned	404	274	524	344	319	891	395	380	1023	302	0	44	6	19	0	10	3	0	6	0	7	3	26	0	34	607	943	3018	0	0	0	0	0	13	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0
ASV16	10.8829569	12.98533014	0.000881643	0.000381129	Enriched	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Renibacterium	Unassigned	0	0	0	0	0	0	0	0	0	102	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	38	215	1615	879	1465	1425	887	2096	191	532	628	2100	0	0	0	0	0	0	0	0	0	0	0	0
ASV59	10.47795368	12.57812781	0.00674228	0.001973268	Enriched	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	314	86	176	81	29	1	111	4	615	121	0	547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV26	10.13032405	12.24432761	0.00113012	0.000479741	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	31	71	1033	417	631	1002	428	591	46	497	563	2107	0	0	0	0	0	0	0	0	0	0	0	0
ASV42	10.02650732	12.14028373	0.003596692	0.001210544	Enriched	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Unassigned	Unassigned	130	132	94	1888	135	195	0	0	0	779	0	0	0	0	0	0	0	503	0	0	0	0	0	10	0	0	72	107	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV41	9.933082284	12.05029485	0.000421941	0.00019685	Enriched	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Unassigned	22	8	31	2936	3	41	3	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	259	161	0	187	140	283	0	0	92	85	182	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV82	9.920579994	12.02620767	0.003027452	0.001048923	Enriched	Bacteria	Firmicutes	Clostridia	Clostridiales	[Tissierellaceae]	Anaerococcus	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	71	113	228	154	5	8	494	0	190	19	1	52	0	0	16	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
ASV74	9.91456714	12.02255649	0.004712052	0.001510421	Enriched	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	191	130	227	54	20	2	117	1	350	95	3	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV57	9.833242108	11.9487805	0.00520879	0.001604171	Enriched	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	52	1552	1	2	6	18	19	0	82	91	6	327	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV51	9.515113082	11.6346727	5.29E-05	3.28E-05	Enriched	Bacteria	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	32	0	0	0	24	0	47	0	2	1	80	13	24	64	96	0	147	144	29	275	88	0	347	62	126	517	504	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV85	9.503103211	11.61953779	0.004485252	0.001447569	Enriched	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	73	346	279	66	9	5	105	4	231	32	0	123	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10	9.406625934	13.64698402	0.001855314	0.000677693	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Ralstonia	Unassigned	0	0	0	0	0	0	0	0	0	80	0	2	2	0	0	1	1	0	0	0	0	0	0	0	0	91	442	2489	1018	1856	2274	1549	2256	307	1517	1264	4189	0	0	0	0	0	0	0	2	0	0	0	0
ASV111	9.23583996	11.34457188	0.00078523	0.000345795	Enriched	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctomyces	Unassigned	0	0	0	0	0	0	0	0	0	45	0	0	0	23	0	0	82	37	1	0	15	16	68	134	0	27	59	67	0	0	66	33	56	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV45	9.166711825	11.30457651	0.006295491	0.001854022	Enriched	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Grimontia	Unassigned	0	0	0	0	0	0	0	0	0	18	78	29	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	200	11	0	0	29	261	2173	430	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV81	8.923567032	11.06628049	0.03561836	0.006878431	Enriched	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Unassigned	Unassigned	0	0	0	4	0	0	0	0	0	21	27	461	817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	37	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV118	8.896994289	11.02707038	0.016544814	0.003802886	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	85	21	29	31	7	0	87	0	218	44	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV125	8.648343654	10.79021852	0.005255867	0.001608159	Enriched	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Unassigned	0	0	0	0	0	0	0	0	0	3	0	0	0	47	31	39	26	6	2	57	0	222	34	0	130	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV120	8.588597925	10.7310965	0.004884731	0.001544755	Enriched	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Micrococcus	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	37	133	37	43	9	0	63	2	124	14	0	111	0	0	28	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV114	8.539108975	10.68831558	0.000237181	0.000116416	Enriched	Bacteria	Firmicutes	Clostridia	Clostridiales	[Tissierellaceae]	Peptoniphilus	Unassigned	0	0	12	7	12	0	10	0	0	0	0	0	0	20	41	27	42	2	2	242	0	50	8	1	12	86	95	0	0	49	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
