Phylum	Hya1	Hya2	Hya3	Hya4	Hya7	Hya5	Ischy1	Ischy2	Ischy3	Hya6	SYA	SYB	SYC	KA10	KA11	KA12	KA13	KA14	KA2	KA3	KA4	KA5	KA6	KA8	KA9	Hya8	Hya9	XM1	XM10	XM12.1	XM12.2	XM2	XM4	XM5	XM6	XM7	XM9	SRR5757138	SRR5757140	SRR5757145	SRR5757146	SRR5757148	SRR5757149	SRR5757154	SRR5757155	SRR5757156	SRR5757158	SRR5757159	SRR5757161
[Thermi]	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.7875 	0.8688 	0.8317 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0125 	0.1256 	0.0000 	0.0000 	0.0000 	0.0502 	0.0000 	0.0000 	0.0000 	0.0000 	0.1382 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0063 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
Actinobacteria	0.7750 	1.4625 	0.8316 	0.1438 	1.2262 	1.0063 	37.6375 	26.4813 	38.9844 	1.3563 	0.0000 	0.0813 	0.0000 	4.4846 	7.6576 	5.5001 	3.5770 	0.6754 	0.1063 	8.6473 	0.0563 	10.7390 	1.7039 	0.0125 	6.7257 	1.1004 	3.4750 	14.8188 	13.7043 	13.0753 	12.5994 	8.7375 	17.8000 	4.2818 	8.4688 	19.9325 	16.1375 	2.5512 	8.4234 	2.9002 	2.6540 	3.9184 	2.7955 	3.5797 	5.4800 	2.4590 	3.9521 	5.5827 	7.1164 
Alphaproteobacteria	22.4250 	34.4000 	77.7104 	24.3527 	38.0506 	55.3063 	14.8313 	13.7000 	18.3416 	24.0063 	0.9563 	12.8877 	1.1692 	22.3416 	14.3431 	20.0163 	60.9722 	91.0387 	90.5340 	43.9211 	29.9200 	6.6231 	8.8768 	97.7842 	28.5669 	67.4253 	63.9313 	23.0875 	20.5127 	20.5540 	7.6485 	27.6625 	9.1000 	48.9561 	21.7313 	7.4841 	7.2063 	6.0051 	3.4008 	2.3792 	1.8277 	1.8458 	8.4372 	11.1034 	1.8747 	0.4067 	10.7835 	2.7976 	2.8491 
Bacteroidetes	40.5500 	36.0688 	3.5763 	4.1026 	31.1186 	14.3188 	10.9250 	12.4313 	11.3877 	10.8875 	0.3313 	3.1953 	0.2126 	6.3501 	2.9476 	6.6805 	3.9153 	0.4565 	0.6878 	5.5702 	0.3688 	8.1815 	10.9253 	0.0689 	7.2030 	5.6334 	3.6125 	3.2938 	2.0069 	2.8389 	4.0308 	0.7125 	4.6188 	19.8962 	1.0188 	1.7694 	2.4500 	1.8366 	1.8041 	11.8267 	0.7261 	1.4804 	11.5616 	7.6305 	1.3104 	0.6632 	8.9204 	1.1855 	1.9266 
Betaproteobacteria	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.7313 	0.0000 	0.0125 	0.0125 	7.0410 	1.0474 	3.0263 	1.7979 	0.5503 	0.0375 	3.5293 	0.0375 	16.2938 	2.1237 	0.0000 	11.2221 	0.8441 	3.6063 	23.8125 	12.3976 	18.1091 	23.0081 	14.1750 	19.9438 	2.4816 	15.6313 	12.8361 	41.6813 	0.0125 	0.1383 	0.0439 	1.1079 	0.5355 	3.3647 	0.5275 	0.2320 	0.2565 	0.3764 	0.1694 	0.1506 
Chlamydiae	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0125 	0.0000 	0.0250 	0.3500 	0.0000 	0.2376 	0.0000 	0.0000 	0.2000 	0.0000 	0.0000 	0.0000 	1.0316 	0.0000 	0.0000 	0.0063 	0.0000 	0.0000 	0.0000 	0.0000 	0.0063 	0.0000 	0.0000 	0.0125 	0.0000 	0.0000 
Chloroflexi	0.0500 	0.0000 	0.0000 	0.0000 	0.0000 	0.0938 	0.4063 	0.1063 	0.0188 	0.3500 	0.0000 	0.0000 	0.0000 	0.2261 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0126 	0.0000 	0.0125 	0.0000 	0.0000 	0.0000 	0.3625 	3.5636 	0.4440 	0.0688 	1.7313 	1.5875 	1.5689 	0.6063 	2.7698 	0.0000 	0.8274 	0.2892 	0.0000 	0.3505 	0.4473 	0.0000 	0.3140 	1.1286 	0.0563 	0.3450 	1.2169 	0.6338 
Crenarchaeota	2.4250 	0.0625 	0.0125 	0.0688 	0.0000 	0.0938 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0754 	0.0000 	0.0000 	0.0000 	0.0000 	0.0125 	0.0000 	0.0125 	0.0189 	0.0063 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
Cyanobacteria	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.1063 	0.0000 	0.0000 	0.0000 	0.0000 	0.0063 	0.0314 	0.0188 	0.0000 	0.0000 	0.0000 	0.0000 	0.0126 	0.0000 	0.0125 	0.0000 	0.0000 	0.0000 	0.2063 	4.4639 	0.4002 	0.0000 	0.4625 	1.1688 	1.4939 	7.8688 	1.1879 	0.2000 	0.0188 	0.0000 	0.1507 	0.0000 	0.0000 	2.9600 	8.6855 	0.0125 	0.0000 	8.6757 	0.0815 	0.0000 
Deferribacteres	0.0000 	1.2125 	0.3126 	0.0000 	0.0000 	0.0000 	0.0813 	0.0000 	0.0188 	0.0938 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
Deltaproteobacteria	1.5375 	0.0750 	1.8507 	2.0700 	0.2440 	0.5375 	0.0500 	0.0188 	0.2501 	0.0750 	0.0000 	0.0000 	0.0000 	0.1947 	0.0000 	0.0565 	0.0000 	0.0000 	0.0000 	0.0942 	0.0000 	0.0126 	0.0188 	0.0000 	0.0063 	0.2501 	0.2250 	0.6938 	0.6440 	0.5190 	0.3630 	0.5563 	0.1375 	0.4001 	0.4563 	0.7503 	0.1438 	1.6047 	1.0372 	0.0314 	1.1204 	0.9008 	1.0752 	0.9860 	1.4421 	0.1064 	0.7904 	1.9508 	1.0166 
